Trajectories,,,,,,,,,,
100,,,,,,,,,,
,,HW3-003:PELVIS_T,,,HW3-003:R_Foot_T,,,HW3-003:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
107,0,14.082452,442.396118,1030.880127,-17.590012,302.321198,113.03701,154.814453,-25.066641,146.313538
108,0,15.832815,443.284424,1030.75769,-17.671986,307.179138,112.875931,153.295197,-15.739074,143.249802
109,0,17.659725,444.071808,1030.594116,-17.767485,312.073608,112.781372,151.59935,-6.454752,140.485123
110,0,19.553473,444.769318,1030.405884,-17.812958,317.103821,112.748619,149.483505,2.219522,138.212204
111,0,21.507782,445.391907,1030.222046,-17.802691,322.187042,112.740829,146.773239,9.709211,136.527206
112,0,23.51226,445.948486,1030.081909,-17.757147,327.246002,112.712883,143.521957,15.686281,135.295761
113,0,25.539362,446.433075,1030.021362,-17.680658,332.33017,112.642342,140.0439,20.229246,134.197525
114,0,27.550791,446.832306,1030.058228,-17.5728,337.446716,112.554077,136.765244,23.809332,132.993958
115,0,29.521437,447.141815,1030.18457,-17.463131,342.438873,112.505409,134.011459,27.099985,131.722931
116,0,31.451273,447.374939,1030.369019,-17.409605,347.152039,112.536201,131.915787,30.669865,130.58551
117,0,33.350536,447.559418,1030.56958,-17.440428,351.641815,112.626854,130.469543,34.759274,129.715912
118,0,35.218544,447.728607,1030.750854,-17.505106,356.129791,112.695862,129.6026,39.300484,129.107483
119,0,37.04039,447.91214,1030.901611,-17.513699,360.791656,112.652023,129.232391,44.107979,128.688965
120,0,38.796406,448.127869,1031.03894,-17.437099,365.621857,112.479607,129.289368,49.05286,128.413345
121,0,40.46944,448.376678,1031.195923,-17.350739,370.432251,112.266457,129.730911,54.114693,128.288132
122,0,42.053135,448.649414,1031.395508,-17.355064,374.980652,112.11692,130.546494,59.330887,128.345612
123,0,43.560989,448.937073,1031.632202,-17.479498,379.174744,112.055748,131.742599,64.726387,128.595398
124,0,45.024807,449.235443,1031.865601,-17.679901,383.130402,112.043198,133.303741,70.279259,129.003845
125,0,46.485115,449.548981,1032.037598,-17.877909,387.033203,112.040199,135.150528,75.928688,129.507156
126,0,47.983856,449.891541,1032.098633,-17.991432,391.00061,112.022011,137.123734,81.60936,130.040131
127,0,49.560966,450.27887,1032.033081,-17.960197,395.053925,111.960686,139.003326,87.289734,130.564911
128,0,51.249428,450.720184,1031.868408,-17.757614,399.14032,111.83149,140.555344,92.982155,131.081253
129,0,53.0672,451.211975,1031.665649,-17.402266,403.132233,111.64222,141.601486,98.704659,131.606064
130,0,55.016399,451.73764,1031.496704,-16.964048,406.850769,111.450249,142.072845,104.443031,132.148422
131,0,57.088516,452.2724,1031.41748,-16.545877,410.142883,111.342468,142.010941,110.166794,132.70459
132,0,59.261917,452.793518,1031.451782,-16.275944,412.87677,111.408134,141.535095,115.861099,133.261719
133,0,61.496311,453.292023,1031.588013,-16.284866,414.891205,111.718895,140.79921,121.52858,133.80127
134,0,63.735611,453.776917,1031.785522,-16.597599,416.107239,112.271133,139.955658,127.173363,134.304245
135,0,65.919624,454.266785,1031.990967,-17.052988,416.683502,112.93856,139.139786,132.789047,134.754593
136,0,67.999756,454.778442,1032.156738,-17.411486,416.935394,113.545074,138.460098,138.360825,135.13974
137,0,69.949371,455.32019,1032.252441,-17.541685,417.080933,113.992393,137.983917,143.876144,135.452072
138,0,71.760117,455.88913,1032.270996,-17.460665,417.138123,114.292992,137.73497,149.327042,135.688431
139,0,73.433464,456.477203,1032.222534,-17.24943,417.0271,114.535248,137.705002,154.708145,135.845901
140,0,74.980789,457.080719,1032.124146,-17.005653,416.626617,114.864563,137.865417,160.019806,135.922134
141,0,76.426666,457.7005,1031.988892,-16.831905,415.780945,115.455017,138.170456,165.268127,135.920151
142,0,77.8041,458.336945,1031.819458,-16.791437,414.384827,116.457283,138.561462,170.459366,135.85054
143,0,79.145325,458.98938,1031.609985,-16.870785,412.442566,117.967636,138.976837,175.592697,135.726852
144,0,80.473999,459.657898,1031.350098,-17.004509,410.022034,120.032341,139.365143,180.655258,135.553848
145,0,81.796425,460.341553,1031.035767,-17.137625,407.161133,122.675148,139.701874,185.619629,135.316284
