,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
120,0,7.784843,-101.352287,1153.471924,-170.331589,-161.880249,151.094543,79.280655,-332.513885,105.202209
121,0,8.075605,-100.176872,1153.777588,-169.628586,-173.128952,150.369812,79.247772,-327.534546,105.230728
122,0,8.193563,-98.985283,1154.007935,-169.042145,-185.031754,149.064117,79.21627,-322.546295,105.256866
123,0,8.265448,-97.781273,1154.198608,-168.615723,-197.552368,147.279297,79.192299,-317.530457,105.276627
124,0,8.323827,-96.590622,1154.346558,-168.561951,-210.688828,144.997055,79.181351,-312.492218,105.285576
125,0,8.31353,-95.4058,1154.434937,-168.061096,-225.033066,142.521912,79.188492,-307.465637,105.298416
126,0,8.186067,-94.243187,1154.511841,-168.309204,-238.952423,139.773987,79.213318,-302.477234,105.337067
127,0,8.093093,-93.123741,1154.611938,-168.953079,-253.584625,136.863968,79.245819,-297.502411,105.379066
128,0,7.96547,-92.055916,1154.692383,-169.41777,-268.650848,133.680573,79.279121,-292.478577,105.359863
129,0,7.780238,-91.034737,1154.781738,-169.986038,-284.078613,130.38443,79.315132,-287.396423,105.270584
130,0,7.57771,-90.113693,1154.888672,-171.149445,-299.854919,126.929001,79.350395,-282.322144,105.183517
131,0,7.399277,-89.217911,1154.998413,-171.95488,-316.364441,123.49221,79.379318,-277.288879,105.147247
132,0,7.142701,-88.397423,1155.094849,-173.450745,-332.250702,120.075089,79.406792,-272.257263,105.143021
133,0,6.815637,-87.617302,1155.172729,-175.012451,-348.346497,116.418045,79.43708,-267.201935,105.141136
134,0,6.459958,-86.891357,1155.25061,-176.824615,-364.857697,113.189499,79.460304,-262.164581,105.1334
135,0,6.045251,-86.266151,1155.36145,-178.674515,-381.506775,110.213127,79.463272,-257.194183,105.126526
136,0,5.609922,-85.736244,1155.431763,-180.39444,-397.714813,107.658981,79.447739,-252.269745,105.129837
137,0,5.098068,-85.241028,1155.469238,-181.952988,-413.810974,106.486465,79.440727,-247.315308,105.147675
138,0,4.544488,-84.793182,1155.463867,-183.250488,-429.836212,106.508133,79.488724,-242.260864,105.18058
139,0,3.943465,-84.412422,1155.358643,-184.166,-444.976776,107.149597,79.617096,-237.101395,105.217979
140,0,3.351711,-84.155457,1155.21521,-184.887939,-459.441132,108.368889,79.796127,-231.925888,105.237846
141,0,2.634758,-83.952766,1154.986694,-185.519348,-473.098083,109.97068,79.97654,-226.840164,105.229889
142,0,1.804089,-83.805809,1154.686035,-185.863571,-485.94043,111.650864,80.140526,-221.871155,105.200211
143,0,0.924138,-83.761314,1154.379639,-185.928955,-497.802124,113.420204,80.279808,-216.975098,105.154045
144,0,-0.124506,-83.854179,1154.052002,-185.726852,-508.600769,115.193184,80.360146,-212.08342,105.096672
145,0,-1.313985,-84.037254,1153.61377,-185.17363,-518.235291,116.92569,80.362068,-207.158829,105.044487
